ID,Model_type,Model_stage,Model_step,Criterion,Description,Violation,Solutions,Justification,Underprediction_error_certainty,Overprediction_error_certainty,Direct_related_IDs,Indirect_related_IDs,All_related_IDs,Citations
1,Prediction,Foundational,General,Species-environment equilibrium,"SDMs often assume that a species is in equilibrium (or quasi-equilibrium) with the environment in which it occurs. That is, suitable habitat is fully occupied or saturated (e.g., Gallien et al. 2012, Zurell et al. 2024).","This assumption can be violated in several ways. For instance, the species range can be restricted by biotic interactions (e.g., competition, predation, pathogens, disturbances; Richmond et al. 2010), leaving portions of their suitable habitat unoccupied. In addition, for invasive species, the extent to which the invader occupies their suitable environment varies depending on the stage of invasion (Gallien et al. 2012). Dispersal barriers may also prevent invader and range-shifting species from reaching suitable habitats (Foster et al. 2022, Marjakangas et al. 2023; see criteria “No dispersal limitation”). There is also increasing evidence that range-shifting species are lagging behind their climatically suitable habitat (Svenning et al. 2008), leading to suitable habitat with delayed colonization (“colonisation credit”) and delayed extinction (“extinction debt”; Foden et al 2007, Foster et al. 2022, Zurell et al. 2024). Additionally, the chances of violating this criteria increase with the extent of the study region (Soley-Guardia et al. 2024).","Use historical range information for model training., Develop a dispersal model to best estimate the species potential distribution (Merow et al. 2016)., Include species' ecological traits in SDMs (Hanspach et al. 2010; Jiguet et al. 2010; Viana & Chase 2022)., Acknowledge modelers were unable to address this assumption., Can we use disequilibrium indicators (e.g. filled vs. unfilled regional niches) to predict a species' future spread or adaptation potential?., ""Use models that incorporate biological processes (e.g. thermal limits, energetics) rather than just statistical correlations, as these better capture real-world limitations beyond simple climate."", ""Add functions relating occurrence likelihood to distance from known locations to account for dispersal limitations and mass effects, improving niche models."", Implement Nested SDMs (N-SDMs; Guisan et al. 2025).","If a model assumes that suitable habitat is fully occupied when in fact it is not, it is well understood that the model may underestimate suitable habitat in areas with missing species presences in the model training step (Welk 2004, Richmond et al. 2010, Václavík & Meentemeyer 2012). Evidence also exists for overestimated suitable habitat in areas not occupied by the species (e.g., due to competition and dispersal limitation; Lowen et al. 2019).",Always,Always,"3, 4.2, 33",6,"3, 4.2, 33, 6",Gallien et al. 2012; Zurell et al. 2024; Richmond et al. 2010; Foster et al. 2022; Marjakangas et al. 2023; Svenning et al. 2008; Foden et al. 2007; Soley-Guardia et al. 2024; Merow et al. 2016; Hanspach et al. 2010; Jiguet et al. 2010; Viana & Chase 2022; Guisan et al. 2025; Welk 2004; Václavík & Meentemeyer 2012; Lowen et al. 2019
1,Projection,Foundational,General,Species-environment equilibrium,"SDMs often assume that a species is in equilibrium (or quasi-equilibrium) with the environment in which it occurs. That is, suitable habitat is fully occupied or saturated (e.g., Gallien et al. 2012, Zurell et al. 2024).","This assumption can be violated in several ways. For instance, the species range can be restricted by biotic interactions (e.g., competition, predation, pathogens, disturbances; Richmond et al. 2010), leaving portions of their suitable habitat unoccupied. In addition, for invasive species, the extent to which the invader occupies their suitable environment varies depending on the stage of invasion (Gallien et al. 2012). Dispersal barriers may also prevent invader and range-shifting species from reaching suitable habitats (Foster et al. 2022, Marjakangas et al. 2023; see criteria “No dispersal limitation”). There is also increasing evidence that range-shifting species are lagging behind their climatically suitable habitat (Svenning et al. 2008), leading to suitable habitat with delayed colonization (“colonisation credit”) and delayed extinction (“extinction debt”; Foden et al 2007, Foster et al. 2022, Zurell et al. 2024). Additionally, the chances of violating this criteria increase with the extent of the study region (Soley-Guardia et al. 2024).","Use historical range information for model training., Develop a dispersal model to best estimate the species potential distribution (Merow et al. 2016)., Include species' ecological traits in SDMs (Hanspach et al. 2010; Jiguet et al. 2010; Viana & Chase 2022)., Acknowledge modelers were unable to address this assumption., Can we use disequilibrium indicators (e.g. filled vs. unfilled regional niches) to predict a species' future spread or adaptation potential?., ""Use models that incorporate biological processes (e.g. thermal limits, energetics) rather than just statistical correlations, as these better capture real-world limitations beyond simple climate."", ""Add functions relating occurrence likelihood to distance from known locations to account for dispersal limitations and mass effects, improving niche models."", Implement Nested SDMs (N-SDMs; Guisan et al. 2025).","If a model assumes that suitable habitat is fully occupied when in fact it is not, it is well understood that the model may underestimate suitable habitat in areas with missing species presences in the model training step (Welk 2004, Richmond et al. 2010, Václavík & Meentemeyer 2012). Evidence also exists for overestimated suitable habitat in areas not occupied by the species (e.g., due to “colonization credit”; e.g., Zurell et al. 2024, Haddou et al. 2022). ",Always,Always,"3, 4.2",6,"3, 4.2, 6",Gallien et al. 2012; Zurell et al. 2024; Richmond et al. 2010; Foster et al. 2022; Marjakangas et al. 2023; Svenning et al. 2008; Foden et al. 2007; Soley-Guardia et al. 2024; Merow et al. 2016; Hanspach et al. 2010; Jiguet et al. 2010; Viana & Chase 2022; Guisan et al. 2025; Welk 2004; Václavík & Meentemeyer 2012; Haddou et al. 2022
2,Prediction,Foundational,General,Niche stability,"SDMs typically assume that species maintain their ecological niche (the set of environmental conditions they require to thrive) across space and time. That is, ""the notion that the niche envelope is a fixed and immutable characteristic of a species, unchanging over space and time"" (Wiens et al. 2009).","This assumption can be violated in several ways. For example, invasive species may develop adaptations to local conditions (biotic or abiotic) and thus occupy areas outside their native environmental niche (Gallien et al. 2012, Gallien et al. 2010, Weins et al. 2009). Ongoing and future climate change may also lead to rapid evolutionary (particularly in the case of short-generation species; Wiens et al. 2009, Franks et al. 2007) or behavioural adaptations to environmental conditions (e.g., changes in timing of spring migration or breeding activity in birds; Root et al. 2003). The probability of violation also depends on the speed of change, the forecasting horizon (i.e., long-term forecasts are more susceptible as greater evolutionary and/or behaviour change may accumulate), and the spatial extent of the analysis (the larger the extent, the greater the likelihood of non-stationarity; Pease et al. 2022).","Shorten timescale of analysis., Acknowledge modelers were unable to address this assumption.","For prediction models, under and overestimation can occur, but are dependent on sampling and ecological context (Bryn et al. 2021). If local rapid adaptations are occurring within different populations of the study area – beyond disrupting the assumption of species-environment equilibrium – the species may respond differently to the predictor variables across the analysis extent. As a consequence, the model can both underestimate (e.g., by missing unique environmental tolerances that are locally relevant via over-smoothing) and overestimate (e.g., by assuming broader environmental tolerances than any local population is adapted to) suitable habitat (Guisan & Thuiller 2005). Similarly to forecasting-horizon, this is more likely to occur with a small sample size (Guisan & Thuiller 2005).",Sometimes,Sometimes,"5, 17, 33",6,"5, 17, 33, 6",Wiens et al. 2009; Gallien et al. 2012; Gallien et al. 2010; Weins et al. 2009; Franks et al. 2007; Root et al. 2003; Pease et al. 2022; Bryn et al. 2021; Guisan & Thuiller 2005
2,Projection,Foundational,General,Niche stability,"SDMs typically assume that species maintain their ecological niche (the set of environmental conditions they require to thrive) across space and time. That is, ""the notion that the niche envelope is a fixed and immutable characteristic of a species, unchanging over space and time"" (Wiens et al. 2009).","This assumption can be violated in several ways. For example, invasive species may develop adaptations to local conditions (biotic or abiotic) and thus occupy areas outside their native environmental niche (Gallien et al. 2012, Gallien et al. 2010, Weins et al. 2009). Ongoing and future climate change may also lead to rapid evolutionary (particularly in the case of short-generation species; Wiens et al. 2009, Franks et al. 2007) or behavioural adaptations to environmental conditions (e.g., changes in timing of spring migration or breeding activity in birds; Root et al. 2003). The probability of violation also depends on the speed of change, the forecasting horizon (i.e., long-term forecasts are more susceptible as greater evolutionary and/or behaviour change may accumulate), and the spatial extent of the analysis (the larger the extent, the greater the likelihood of non-stationarity; Pease et al. 2022).","Shorten timescale of analysis., Acknowledge modelers were unable to address this assumption.","For invasive species, if a projection model is trained based only on the species’ native environmental niche and extrapolated to the invaded range, the model will fail to recognize the newly occupied environmental spaces as suitable (e.g., Wesselmann et al. 2021, Mandel et al. 2010). In other words, it will underestimate the species potential distribution. Similarly, for species undergoing rapid adaptation in response to climate change, projection models will also underestimate suitable habitat and thus project range contractions that may not occur (Chevalier et al. 2022). If said adaptations release species from the need to track their “old” environmental niche, the model will also overestimate suitable habitat that the species no longer needs (Rangel et al. 2018). If local rapid adaptations are occurring within different populations of the study area – beyond disrupting the assumption of species-environment equilibrium – the species may respond differently to the predictor variables across the analysis extent. As a consequence, the model can both underestimate (e.g., by missing unique environmental tolerances that are locally relevant via over-smoothing) and overestimate (e.g., by assuming broader environmental tolerances than any local population is adapted to) suitable habitat (Guisan & Thuiller 2005). Similarly to forecasting-horizon, this is more likely to occur with a small sample size (Guisan & Thuiller 2005).",Always,Sometimes,"17, 23, 20",,"17, 23, 20",Wiens et al. 2009; Gallien et al. 2012; Gallien et al. 2010; Weins et al. 2009; Franks et al. 2007; Root et al. 2003; Pease et al. 2022; Wesselmann et al. 2021; Mandel et al. 2010; Chevalier et al. 2022; Rangel et al. 2018; Guisan & Thuiller 2005
4.1,Prediction,Foundational,General,Eltonian noise (positive interactions),"The Eltonian noise hypothesis states that local biotic interactions do not alter species’ environmental niches at larger scales, only introduce statistical noise. Instead, species niche is assumed to be dominantly determined by climate (Soley-Guardia et al. 2024). Most SDMs rely on this hypothesis and thus, often only include abiotic variables as predictors. Yet, biotic interactions are among the reasons why a species may not be at equilibrium with their environment (Richmond et al. 2010, Jeschke & Strayer 2008).","There is growing evidence that this assumption can be frequently violated, supported by improved SDMs when biotic interactions are included (e.g., Fern et al. 2019, Boulangeat et al. 2012, Godsoe & Harmon 2012, Suttle et al. 2007). In some cases (e.g., boreal caribou, wolf, and moose; Boutin et al. 2012), there is evidence that competition and/or predation restrict the distribution of species (Poggiato et al. 2025). In other cases, it is clear that mutualism and/or symbiosis allow species to persist. By ignoring biotic interactions, SDMs may capture the Grinnellian (fundamental bioclimatic) niche instead of the Eltonian (realized biotic) niche (Soley-Guardia et al. 2024). However, Godsoe & Harmon (2012) highlight that violation of this assumption is not universal. Instead, it depends on the species, type of biotic interaction, and modelling method (Araújo & Luoto 2007). Additionally, the chances of violating this criteria increase with the extent of the study region (Soley-Guardia et al. 2024).","Include biotic interactions as predictors (Heikkinen et al. 2007)., Acknowledge modelers were unable to address this assumption.","In the case of positive interactions, models may overestimate a species distribution by predicting as suitable those areas within the preferred abiotic conditions but where its mutualistic or symbiotic partner is absent from (Boulangeat et al. 2012). ",Rarely,Always,6,,6,Soley-Guardia et al. 2024; Richmond et al. 2010; Jeschke & Strayer 2008; Fern et al. 2019; Boulangeat et al. 2012; Godsoe & Harmon 2012; Suttle et al. 2007; Boutin et al. 2012; Poggiato et al. 2025; Araújo & Luoto 2007; Heikkinen et al. 2007
4.1,Projection,Foundational,General,Eltonian noise (positive interactions),"The Eltonian noise hypothesis states that local biotic interactions do not alter species’ environmental niches at larger scales, only introduce statistical noise. Instead, species niche is assumed to be dominantly determined by climate (Soley-Guardia et al. 2024). Most SDMs rely on this hypothesis and thus, often only include abiotic variables as predictors. Yet, biotic interactions are among the reasons why a species may not be at equilibrium with their environment (Richmond et al. 2010, Jeschke & Strayer 2008).","There is growing evidence that this assumption can be frequently violated, supported by improved SDMs when biotic interactions are included (e.g., Fern et al. 2019, Boulangeat et al. 2012, Godsoe & Harmon 2012, Suttle et al. 2007). In some cases (e.g., boreal caribou, wolf, and moose; Boutin et al. 2012), there is evidence that competition and/or predation restrict the distribution of species (Poggiato et al. 2025). In other cases, it is clear that mutualism and/or symbiosis allow species to persist. By ignoring biotic interactions, SDMs may capture the Grinnellian (fundamental bioclimatic) niche instead of the Eltonian (realized biotic) niche (Soley-Guardia et al. 2024). However, Godsoe & Harmon (2012) highlight that violation of this assumption is not universal. Instead, it depends on the species, type of biotic interaction, and modelling method (Araújo & Luoto 2007). Additionally, the chances of violating this criteria increase with the extent of the study region (Soley-Guardia et al. 2024).","Include biotic interactions as predictors (Heikkinen et al. 2007)., Acknowledge modelers were unable to address this assumption.","In the case of positive interactions, models may overestimate a species distribution by predicting as suitable those areas within the preferred abiotic conditions but where its mutualistic or symbiotic partner is absent from (Boulangeat et al. 2012). ",Rarely,Always,6,,6,Soley-Guardia et al. 2024; Richmond et al. 2010; Jeschke & Strayer 2008; Fern et al. 2019; Boulangeat et al. 2012; Godsoe & Harmon 2012; Suttle et al. 2007; Boutin et al. 2012; Poggiato et al. 2025; Araújo & Luoto 2007; Heikkinen et al. 2007
7,Prediction,"Data quality, relevance and preparation",Species datasets,Correct taxonomic identification,"SDMs should be built using occurrence data that are free of substantial errors regarding taxonomic identification (Soley-Guardia et al. 2024, Araújo et al. 2019, Aubry et al. 2017, Maldonado et al. 2015).","Despite the increasing accessibility to occurrence data via online biodiversity portals (e.g., GBIF, eBird, iNaturalis) and their attention to data quality and uncertainty, taxonomic misidentifications remain common (Soley-Guardia et al. 2024). Additionally, many records lack information regarding the uncertainty of identification, and may often fail to capture updates in taxonomic publications (Anderson et al. 2020). Violations can also occur through direct data collection via misidentification in the field or mistakes during data entering.","Implement partial vetting (Soley et al. 2024)., Standardize and clean data for given taxonomic groups and regions (Soley et al. 2024)., Remove occurrences without spatial reference., Acknowledge modelers were unable to address this assumption.","When SDMs are built using occurrence data containing misidentified records, the foundational assumption that the data accurately represents a single biological entity is broken. In this case, the species-environmental relationships captured by the model represent an aggregated environmental envelope that belongs to no single species in nature, and can result in overestimation of suitable habitat for both prediction and projection models (e.g., Costa et al. 2015, Romero et al. 2014). The impact of misidentifications is expected to be more severe for rare and/or cryptic species (e.g., Aubry et al. 2017). For the related case of missing records, see criteria “Unbiased species data”.",Rarely,Always,,,,Soley-Guardia et al. 2024; Araújo et al. 2019; Aubry et al. 2017; Maldonado et al. 2015; Anderson et al. 2020; Soley et al. 2024; Costa et al. 2015; Romero et al. 2014
7,Projection,"Data quality, relevance and preparation",Species datasets,Correct taxonomic identification,"SDMs should be built using occurrence data that are free of substantial errors regarding taxonomic identification (Soley-Guardia et al. 2024, Araújo et al. 2019, Aubry et al. 2017, Maldonado et al. 2015).","Despite the increasing accessibility to occurrence data via online biodiversity portals (e.g., GBIF, eBird, iNaturalis) and their attention to data quality and uncertainty, taxonomic misidentifications remain common (Soley-Guardia et al. 2024). Additionally, many records lack information regarding the uncertainty of identification, and may often fail to capture updates in taxonomic publications (Anderson et al. 2020). Violations can also occur through direct data collection via misidentification in the field or mistakes during data entering.","Implement partial vetting (Soley et al. 2024)., Standardize and clean data for given taxonomic groups and regions (Soley et al. 2024)., Remove occurrences without spatial reference., Acknowledge modelers were unable to address this assumption.","When SDMs are built using occurrence data containing misidentified records, the foundational assumption that the data accurately represents a single biological entity is broken. In this case, the species-environmental relationships captured by the model represent an aggregated environmental envelope that belongs to no single species in nature, and can result in overestimation of suitable habitat for both prediction and projection models (e.g., Costa et al. 2015, Romero et al. 2014). The impact of misidentifications is expected to be more severe for rare and/or cryptic species (e.g., Aubry et al. 2017). For the related case of missing records, see criteria “Unbiased species data”.",Rarely,Always,,,,Soley-Guardia et al. 2024; Araújo et al. 2019; Aubry et al. 2017; Maldonado et al. 2015; Anderson et al. 2020; Soley et al. 2024; Costa et al. 2015; Romero et al. 2014
8,Prediction,"Data quality, relevance and preparation",Species datasets,Lack of spatial positional error,"SDMs should be built using input data that are free of substantial errors regarding georeference, also called spatial positional error (i.e., inaccurate location of species occurrences; Soley-Guardia et al. 2024, Araújo et al. 2019).","Similar to species misidentification, errors in georeferencing may also occur in online biodiversity portals (e.g., GBIF, eBird, iNaturalis), particularly for older records (likely to persist; Soley-Guardia et al. 2024). Gábor et al. (2020) also alert for spatial positional errors in recent records due, for example, to data processing issues (e.g., conversion between coordinate reference systems, rounding of coordinate values).","Implement partial vetting (Soley et al. 2024)., Remove occurrences without spatial reference., Standardize and clean data for given taxonomic groups and regions (Soley et al. 2024)., Acknowledge modelers were unable to address this assumption.","Because correlative SDMs rely on extracting predictor values at the exact coordinate pixels of species occurrences, the resulting spatial mismatch leads to a breakdown in the modeled species-environment relationship, as environmental conditions at the recorded locations might differ from those at actual locations (Gábor et al. 2022). The effect of spatial positional error has been largely explored in prediction models, demonstrating that the severity of the resulting prediction errors depends on the modeled spatial resolution, species’ niche breadth, and the degree of local spatial autocorrelation in predictors (Moudrý et al. 2025, Gábor et al. 2020, Tulowiecki et al. 2015, Naimi et al. 2013, Osborne & Leitão 2009). More specifically, fine-scale SDMs, models for specialist species, and for areas with low local spatial association in predictors are among the most severely affected. Gábor et al. (2020) also demonstrated that the presence of spatial positional errors decreases niche overlap compared to a reference model built free of errors, and that increased sample size is not enough to compensate for the detrimental effects of positional error. This suggests that both overestimation and underestimation can occur. For projection models, the consequence of the misidentified niche is likely to be amplified given the added uncertainty of non-analog conditions.",Sometimes,Sometimes,15,,15,Soley-Guardia et al. 2024; Araújo et al. 2019; Gábor et al. 2020; Soley et al. 2024; Gábor et al. 2022; Moudrý et al. 2025; Tulowiecki et al. 2015; Naimi et al. 2013; Osborne & Leitão 2009
8,Projection,"Data quality, relevance and preparation",Species datasets,Lack of spatial positional error,"SDMs should be built using input data that are free of substantial errors regarding georeference, also called spatial positional error (i.e., inaccurate location of species occurrences; Soley-Guardia et al. 2024, Araújo et al. 2019).","Similar to species misidentification, errors in georeferencing may also occur in online biodiversity portals (e.g., GBIF, eBird, iNaturalis), particularly for older records (likely to persist; Soley-Guardia et al. 2024). Gábor et al. (2020) also alert for spatial positional errors in recent records due, for example, to data processing issues (e.g., conversion between coordinate reference systems, rounding of coordinate values).","Implement partial vetting (Soley et al. 2024)., Remove occurrences without spatial reference., Standardize and clean data for given taxonomic groups and regions (Soley et al. 2024)., Acknowledge modelers were unable to address this assumption.","Because correlative SDMs rely on extracting predictor values at the exact coordinate pixels of species occurrences, the resulting spatial mismatch leads to a breakdown in the modeled species-environment relationship, as environmental conditions at the recorded locations might differ from those at actual locations (Gábor et al. 2022). The effect of spatial positional error has been largely explored in prediction models, demonstrating that the severity of the resulting prediction errors depends on the modeled spatial resolution, species’ niche breadth, and the degree of local spatial autocorrelation in predictors (Moudrý et al. 2025, Gábor et al. 2020, Tulowiecki et al. 2015, Naimi et al. 2013, Osborne & Leitão 2009). More specifically, fine-scale SDMs, models for specialist species, and for areas with low local spatial association in predictors are among the most severely affected. Gábor et al. (2020) also demonstrated that the presence of spatial positional errors decreases niche overlap compared to a reference model built free of errors, and that increased sample size is not enough to compensate for the detrimental effects of positional error. This suggests that both overestimation and underestimation can occur. For projection models, the consequence of the misidentified niche is likely to be amplified given the added uncertainty of non-analog conditions.",Always,Always,15,,15,Soley-Guardia et al. 2024; Araújo et al. 2019; Gábor et al. 2020; Soley et al. 2024; Gábor et al. 2022; Moudrý et al. 2025; Tulowiecki et al. 2015; Naimi et al. 2013; Osborne & Leitão 2009
