Term,Definition,Examples,References
Application category,A group of model applications sharing broad objectives and ways of using SDM outputs to inform conservation decisions. Error severity is assigned at this level in the framework.,Anthropogenic-disturbance screening belongs to the category “Threshold for restriction or precautionary management.”,This study
Core criterion,A model criterion assigned error certainty rankings and directly filtered by the framework for the selected model type.,Perfect detection is a core criterion retained for underprediction in the prediction-model case study.,This study
Criterion violation,Failure to meet a condition represented by a model criterion.,Species records cover only a narrow portion of the environmental conditions across which the model is applied.,This study
Decision threshold,"A value or rule used to translate model outputs, or quantities derived from them, into a category or action.",Locations exceeding a specified predicted-occurrence value are flagged for precautionary review.,This study
Error certainty,"The ranked likelihood that violation of a criterion will produce a particular error type for a given model type. Rankings are always, sometimes, or rarely (Table 3).","In the case study, violation of the perfect detection criterion is ranked as always leading to underprediction for prediction models.",This study
Error certainty tolerance,A user-defined selection specifying the minimum error certainty considered when identifying relevant core criteria.,Selecting sometimes retains criteria whose violation is ranked as sometimes or always producing a relevant error type.,This study
Error severity,"The ranked consequence of a particular error type for conservation outcomes within an application category. Rankings are correctness, quality, or efficiency (Table 3).",Underprediction in disturbance screening can leave important locations unprotected and is assigned a correctness consequence.,This study
Error severity tolerance,A user-defined selection specifying the minimum error severity considered when identifying relevant error types for an application.,"Selecting quality includes error types assigned quality or correctness consequences, but excludes those assigned only efficiency consequences.",This study
Error type,The direction of model error considered in the framework: underprediction or overprediction.,Underprediction; overprediction.,This study
Model application,The purpose for which SDM outputs are used to inform ecological understanding or conservation decisions.,Selecting restoration sites; directing invasive-species surveys; screening proposed developments for potential impacts on species.,Guisan et al. (2013); Srivastava et al. (2019); Meller et al. (2014)
Model assessment,"Judgement of whether a model is suitable for its intended application, informed by evaluation of its performance, assumptions, and limitations.",Judging whether a regional SDM is suitable for screening potential development impacts on a species.,Araújo et al. (2019); Soley-Guardia et al. (2024)
Model criterion,"An assumption or requirement used to evaluate an SDM, including conditions intended to avoid issues or hazards that can affect its predictions.",Species data cover the environmental extent; predictor resolution matches the response scale.,Araújo et al. (2019); Soley-Guardia et al. (2024)
Model cycle,"The iterative process of assembling and preparing data, building, evaluating, and refining a model, and generating predictions.","Compiling occurrence records, preparing environmental predictors, fitting and evaluating a model, and generating a prediction map.",Zurell et al. (2020)
Model evaluation,"Examination of model performance and plausibility using quantitative measures, qualitative evidence, or both.",Calculating performance measures using independent data and checking predicted distributions for ecological plausibility.,This study
Model type,The distinction between prediction and projection used in the framework to account for differences in the consequences of criterion violation.,Prediction; projection.,This study
Model user,"A person who uses SDM outputs to inform an ecological or conservation application, whether or not they developed the model.",A conservation planner using predicted distributions to identify candidate protected areas.,This study
Modeler,"A person who develops an SDM, including choices about data, model fitting, evaluation, and prediction.",An ecologist developing an SDM from bird surveys and environmental predictors.,This study
Overprediction,"Prediction of a quantity above its true value, or inclusion of locations that should not be included in a predicted distribution. For binary occurrence predictions, overprediction takes the form of false positives, also termed commission errors.",A model predicts a density of eight individuals per hectare where the true density is four.,"Mendes et al. (2020), Velazco et al. (2020)"
Prediction (model type),Use of fitted species–environment relationships to estimate a species’ distribution or associated quantities within the geographical region and time period represented by the model’s calibration data.,Mapping current bird density across the region represented by the calibration surveys.,Araujo et al. (2019)
Projection (model type),Transfer of fitted species–environment relationships to estimate a species’ distribution or associated quantities in another geographical region or time period.,Applying a model calibrated on current conditions to estimate suitable habitat under a future climate scenario.,Araujo et al. (2019)
Related criterion (special case),"A criterion represented as a special case of one or more core criteria, directly or through another related criterion. It is included through these relationships rather than independently assigned error certainty rankings.",A special case associated with two retained core criteria is displayed beneath each of them without being independently filtered.,This study
Species distribution model (SDM),"A model relating species occurrence or abundance to environmental variables to estimate distribution, habitat suitability, or density.",A model relating bird occurrence to forest cover and climate to map predicted occurrence.,Elith & Leathwick (2009)
Underprediction,"Prediction of a quantity below its true value, or omission of locations that should be included in a predicted distribution. For binary occurrence predictions, underprediction takes the form of false negatives, also termed omission errors.",A model predicts absence at a site where the species is present.,Auffret et al. (2024)
Use-case scenario,"The particular use of an SDM described by its application, model type, and user-defined error severity and certainty tolerances.","Disturbance screening using a prediction model, with correctness selected for severity tolerance and sometimes selected for certainty tolerance.",This study
