Application,Application_category,Description
Abiotic and biotic driver interpretation,"Assess, describe, or interpret","Interpret variable importance, coefficients, response curves, or partial dependence to infer relative effects of abiotic and biotic factors and infer habitat specificity."
Area of occurrence estimation,"Assess, describe, or interpret","Aggregate predicted occurrence or habitat into a scalar estimate of occupied area, area of occupancy, or area of suitable habitat."
Biodiversity metrics & mapping,"Assess, describe, or interpret","Aggregate predicted distributions, abundances, richness, endemism, or turnover into scalar biodiversity indicators or metrics."
Habitat distribution mapping,"Assess, describe, or interpret","Predict where a biotope, habitat type, or ecological community is likely to occur and describe its spatial pattern."
Distribution or realized niche shift assessment,"Assess, describe, or interpret","Aggregate current and future distribution predictions to estimate a scalar change in range extent, centroid, occupied area, or suitable area."
Environmental niche variation or differentiation analysis,"Assess, describe, or interpret","Compare modelled environmental niches among taxa, populations, regions, or time periods to infer niche differentiation, overlap, or conservatism."
Fire-effect assessment,"Assess, describe, or interpret","Summarize pre- and post-fire predictions to estimate scalar effects on abundance, suitable area, occupancy, or trend."
Forest heterogeneity relevance analysis,"Assess, describe, or interpret","Interpret model responses or variable importance to understand how forest heterogeneity relates to occurrence, density, or habitat suitability."
Habitat-loss assessment,"Assess, describe, or interpret","Summarize predicted habitat area or abundance before and after land-cover change to estimate total loss, gain, or net change."
Habitat-overlap or niche-overlap analysis,"Assess, describe, or interpret","Compare prediction surfaces or environmental-space occupancy to describe overlap among species, populations, sexes, or time periods inlcuding ecological differentation or local adaptation."
Intraspecific distribution or niche change assessment,"Assess, describe, or interpret","Aggregate projected changes for populations, lineages, or intraspecific units to estimate scalar changes in suitable area, exposure, or distribution."
Niche estimation,"Assess, describe, or interpret","Estimate and interpret environmental associations, niche breadth, response curves, or realized niche characteristics."
Protected-area coverage assessment,"Assess, describe, or interpret","Summarize predicted habitat, abundance, richness, or range coverage inside protected areas to estimate scalar coverage or efficiency metrics."
Site productivity assessment,"Assess, describe, or interpret","Aggregate or summarize predicted productivity into a scalar estimate for a site, unit, or scenario."
Source-sink habitat description,"Assess, describe, or interpret","Use predicted habitat, abundance, productivity, or demographic correlates to describe potential source-like and sink-like habitat patterns."
Spatial genetic structure and niche investigation,"Assess, describe, or interpret","Relate genetic structure, lineages, or diversity patterns to environmental suitability or predicted distributions."
Species abundance or density assessment,"Assess, describe, or interpret","Aggregate a predicted density or abundance surface into a scalar total, mean density, or regional abundance estimate with uncertainty."
Species co-occurrence description,"Assess, describe, or interpret","Model or describe co-occurrence patterns, shared suitability, or overlap among species to infer community or interaction patterns."
Species distribution mapping for description,"Assess, describe, or interpret",Generate and interpret a spatial prediction of distribution or habitat as a descriptive endpoint or communication product.
Stock assessment,"Assess, describe, or interpret","Summarize spatiotemporal density, biomass, abundance, or catch-rate predictions into scalar stock indices or abundance estimates with uncertainty."
Suitable habitat prediction for status assessment,"Assess, describe, or interpret","Summarize predicted suitable habitat into a scalar status-relevant estimate such as area, trend, or proportion protected."
Suture zone or contact zone description,"Assess, describe, or interpret","Use distribution, niche, or lineage models to describe contact zones, environmental transitions, or potential hybrid zones."
Trend estimation,"Assess, describe, or interpret","Aggregate predictions across time to estimate scalar trends in abundance, occupied area, suitable habitat, or biodiversity indicators."
Vulnerability assessment,"Assess, describe, or interpret","Aggregate exposure, sensitivity, distribution change, or abundance change into a scalar vulnerability estimate for a species, unit, or scenario."
Data gap identification,"Assess, describe, or interpret","Allocate sampling or model-improvement effort to locations, covariates, species, or regions expected to reduce uncertainty or fill data gaps."
Conservation-status assessment,Categorize for assessment,"Summarize modelled range, area of occupancy, population size, or trend into a scalar status-relevant estimate with uncertainty."
Species or habitat-class categorization,Categorize for assessment,"Use predicted environmental or spatial patterns to help classify species, habitats, communities, or ecological groups."
Harvest limit setting,Extraction limits,"Summarize predicted abundance, productivity, biomass, or sustainable capacity and use the estimate to set quotas, take limits, or effort caps."
Fishing-effort allocation or zone targeting,Extraction limits,"Allocate fishing effort or identify candidate fishing zones relataive to thresholds based on predicted occurrence, abundance, habitat suitability, or catch potential."
Climate-adaptation allocation planning,Optimize for allocation,"Allocate limited adaptation actions, monitoring, restoration, or protection effort across places or species to maximize expected benefit under climate scenarios."
Connectivity network optimization,Optimize for allocation,"Allocate protection, restoration, or mitigation actions across a network to maximize connectivity under constraints."
Information-gain allocation,Optimize for allocation,"Allocate sampling or model-improvement effort to locations, covariates, species, or regions expected to reduce uncertainty or fill data gaps."
Invasion control allocation,Optimize for allocation,"Allocate surveillance, eradication, containment, or control effort among areas to maximize expected reduction in invasion risk or spread."
Restoration resource allocation,Optimize for allocation,"Allocate restoration effort, funding, or actions among candidate sites to maximize expected conservation benefit under budget or feasibility constraints."
Sampling design optimization,Optimize for allocation,"Allocate sampling effort among sites, strata, species, or time periods to maximize detections, precision, representativeness, or information gain."
Species inventory or survey planning,Optimize for allocation,"Allocate field effort to improve the species inventory, fill gaps, or maximize detections using predicted occurrence or information value."
Targeted search for new populations,Optimize for allocation,"Allocate survey effort toward locations predicted to have high occurrence probability, high information value, or high chance of discovering unknown populations."
Connectivity network prioritization,Prioritize,"Rank candidate corridors, linkages, or movement pathways by predicted habitat value, movement suitability, or connectivity contribution."
Critical area or hotspot prioritization,Prioritize,"Rank sites, cells, or regions by predicted biodiversity value, rarity, risk, or concentration of important features."
Endemism hotspot prioritization,Prioritize,"Rank sites or regions by predicted endemism, weighted endemism, or irreplaceability for conservation attention."
Priority-area identification,Prioritize,"Rank sites, cells, or management units by predicted conservation value for protection, restoration, mitigation, or investment."
Protected-area gap or expansion prioritization,Prioritize,"Rank unprotected sites or regions by their potential to improve representation, coverage, or conservation value."
Reintroduction site prioritization,Prioritize,"Rank candidate release sites by predicted persistence, habitat suitability, risk, connectivity, or expected conservation benefit."
Restoration site prioritization,Prioritize,"Rank candidate restoration sites by expected biodiversity gain, suitability, urgency, or feasibility."
Road-kill mitigation area prioritization,Prioritize,"Rank road segments or areas by predicted collision risk, species vulnerability, or expected mitigation benefit."
Suitable habitat prediction for protection prioritization,Prioritize,"Rank predicted habitat patches or areas for protection based on relative suitability, importance, or conservation value."
Climate-adaptation prioritization,Prioritize,"Rank refugia, populations, sites, or species by projected persistence, exposure, or conservation value under climate change."
Climate exposure or vulnerability screening,Threshold for recovery or enhancement,"Use projected suitability, exposure, or vulnerability to flag species or areas for precautionary planning, review, or monitoring."
Post-fire intervention selection,Threshold for recovery or enhancement,"Use post-fire suitability, recovery potential, or recolonization probability to select locations where restoration or management intervention is justified."
Reintroduction site feasibility screening,Threshold for recovery or enhancement,"Use predicted suitability, persistence probability, or future climate suitability to identify candidate release sites."
Restoration feasibility screening,Threshold for recovery or enhancement,"Use suitability, recovery potential, or probability of establishment to identify sites where restoration intervention is likely to work."
Anthropogenic-disturbance screening for avoidance or constraints,Threshold for restriction or precautionary management,"Use predicted occurrence, density, habitat, or sensitivity to flag disturbance footprints or areas needing avoidance, mitigation, or review."
Climate-adaptation screening,Threshold for restriction or precautionary management,"Use projected distributions or exposure surfaces to flag areas, populations, or species needing precautionary management under climate change."
Future threat screening,Threshold for restriction or precautionary management,"Use projected distributions, vulnerability, or overlap with threats to flag areas or species that may require precautionary management."
Invasion risk screening,Threshold for restriction or precautionary management,"Use modelled suitability or establishment risk to flag areas for surveillance, prevention, quarantine, or early response."
Land-use planning constraints,Threshold for restriction or precautionary management,"Use predicted distribution, habitat, or risk to flag areas where land-use decisions should avoid or mitigate biodiversity impacts."
