"reference_id","citation_key","citation_aliases","authors","year","title","publication","volume","issue","pages","doi","hyperlink","formatted_reference","reference_type","metadata_source","source_types","core_criteria","related_criteria","model_applications","glossary_terms","landing_sections","match_status","review_notes"
"alvarado_serrano_2014","Alvarado-Serrano & Knowles 2014","Alvarado-Serrano & Knowles 2014","Aibin Zhan; Sarah A. Bailey; Daniel D. Heath; Hugh J. Macisaac","2014","Performance comparison of genetic markers for high‐throughput sequencing‐based biodiversity assessment in complex communities","Molecular Ecology Resources","14","5","1049-1059","10.1111/1755-0998.12254","https://doi.org/10.1111/1755-0998.12254","Alvarado-Serrano & Knowles 2014. Ecological niche models in phylogeographic studies: applications, advances and precautions. Molecular Ecology Resources.","journal-article","Application inventory","Model application","","","Habitat-overlap or niche-overlap analysis; Spatial genetic structure and niche investigation; Suture zone or contact zone description","","","source_doi_conflict_not_in_zotero","Not found in the supplied Zotero bibliography. DOI was supplied in application_inventory.csv, but its Crossref title does not align with the supplied citation (automated title coverage 0). Verify and correct the citation or DOI."
"carvalho_2010","Carvalho et al. 2010","Carvalho et al. 2010","D.B. Lindenmayer; E.J. Knight; M.J. Crane; R. Montague-Drake; D.R. Michael; C.I. MacGregor","2010","What makes an effective restoration planting for woodland birds?","Biological Conservation","143","2","289-301","10.1016/j.biocon.2009.10.010","https://doi.org/10.1016/j.biocon.2009.10.010","Carvalho et al. 2010. Simulating the effects of using different types of species distribution data in reserve selection. Biological Conservation.","journal-article","Application inventory","Model application","","","Protected-area gap or expansion prioritization","","","source_doi_conflict_not_in_zotero","Not found in the supplied Zotero bibliography. DOI was supplied in application_inventory.csv, but its Crossref title does not align with the supplied citation (automated title coverage 0). Verify and correct the citation or DOI."
"jarvie_2018","Jarvie & Svenning 2018","Jarvie & Svenning 2018","Emma-Liina Marjakangas; Luísa Genes; Mathias M. Pires; Fernando A. S. Fernandez; Renato A. F. de Lima; Alexandre A. de Oliveira; Otso Ovaskainen; Alexandra S. Pires; Paulo I. Prado; Mauro Galetti","2018","Estimating interaction credit for trophic rewilding in tropical forests","Philosophical Transactions of the Royal Society B: Biological Sciences","373","1761","20170435","10.1098/rstb.2017.0435","https://doi.org/10.1098/rstb.2017.0435","Jarvie & Svenning 2018. Using species distribution modelling to determine opportunities for trophic rewilding under future scenarios. Philosophical Transactions B.","journal-article","Application inventory","Model application","","","Reintroduction site prioritization","","","source_doi_conflict_not_in_zotero","Not found in the supplied Zotero bibliography. DOI was supplied in application_inventory.csv, but its Crossref title does not align with the supplied citation (automated title coverage 0.29). Verify and correct the citation or DOI."
"velazco_2020","Velazco et al. 2020","Velazco et al. (2020) | Velazco et al. 2020","Sophie Monsarrat; Oskar Liset Pryds Hansen; Jens-Christian Svenning","2020","Highly variable impacts of feral horses on ecosystems worldwide","Biological Conservation","247","","108616","10.1016/j.biocon.2020.108616","https://doi.org/10.1016/j.biocon.2020.108616","Velazco et al. 2020. Dealing with overprediction in species distribution models in spatial conservation prioritization. Biological Conservation.","journal-article","Application inventory","Glossary; Model application","","","Critical area or hotspot prioritization; Endemism hotspot prioritization; Priority-area identification; Suitable habitat prediction for protection prioritization","Commission errors","","source_doi_conflict_not_in_zotero","Not found in the supplied Zotero bibliography. DOI was supplied in application_inventory.csv, but its Crossref title does not align with the supplied citation (automated title coverage 0). Verify and correct the citation or DOI."
"abdel_moniem_2025","Abdel-Moniem et al. 2025","Abdel-Moniem et al. 2025","","2025","","","","","","","https://search.crossref.org/?q=Abdel-Moniem%20et%20al.%202025","","","Unresolved","Core criterion","Prediction 31: Setting an appropriate threshold, if applicable; Projection 31: Setting an appropriate threshold, if applicable","","","","","not_found_in_zotero","Not found in the supplied Zotero bibliography. The hyperlink opens a Crossref search; bibliographic details require review."
"aiello_2015","Aiello et al. 2015","Aiello et al. 2015","","2015","","","","","","","https://search.crossref.org/?q=Aiello%20et%20al.%202015","","","Unresolved","Related criterion","","Prediction 9: Unbiased species data; Projection 9: Unbiased species data","","","","not_found_in_zotero","Not found in the supplied Zotero bibliography. The hyperlink opens a Crossref search; bibliographic details require review."
"allouche_2006","Allouche et al. 2006","Allouche et al. 2006","Allouche, OMRI, et al.","2006","Assessing the Accuracy of Species Distribution Models: Prevalence, Kappa and the True Skill Statistic (TSS)","Journal of Applied Ecology","43","6","1223–32","10.1111/j.1365-2664.2006.01214.x","https://doi.org/10.1111/j.1365-2664.2006.01214.x","Allouche, OMRI, et al. “Assessing the Accuracy of Species Distribution Models: Prevalence, Kappa and the True Skill Statistic (TSS).” Journal of Applied Ecology, vol. 43, no. 6, 2006, pp. 1223–32, https://doi.org/10.1111/j.1365-2664.2006.01214.x.","journal-article","Zotero bibliography","Core criterion; Related criterion","Prediction 30: Performance/evaluation metrics are appropriate; Projection 30: Performance/evaluation metrics are appropriate","Prediction 26: Statistical methods and algorithms employed are appropriate; Projection 26: Statistical methods and algorithms employed are appropriate","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"allouche_2008","Allouche et al. 2008","Allouche et al. 2008","","2008","","","","","","","https://search.crossref.org/?q=Allouche%20et%20al.%202008","","","Unresolved","Related criterion","","Prediction 3: No dispersal limitation; Projection 3: No dispersal limitation","","","","not_found_in_zotero","Not found in the supplied Zotero bibliography. The hyperlink opens a Crossref search; bibliographic details require review."
"anderson_2013","Anderson 2013","Anderson 2013","Anderson, Robert P.","2013","A Framework for Using Niche Models to Estimate Impacts of Climate Change on Species Distributions","Annals of the New York Academy of Sciences","1297","1","“A Framework for Using Niche Models to Estimate Impacts of Climate Change on Species Distributions","10.1111/nyas.12264","https://doi.org/10.1111/nyas.12264","Anderson, Robert P. “A Framework for Using Niche Models to Estimate Impacts of Climate Change on Species Distributions.” Annals of the New York Academy of Sciences, vol. 1297, no. 1, 2013, pp. 8–28, https://doi.org/10.1111/nyas.12264.","journal-article","Zotero bibliography","Related criterion","","Projection 20: Non-novel conditions","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"anderson_2020","Anderson et al. 2020","Anderson et al. 2020","Anderson, R. P., et al.","2020","Optimizing Biodiversity Informatics to Improve Information Flow, Data Quality, and Utility for Science and Society","","12","3","","10.21425/F5FBG47839","https://doi.org/10.21425/F5FBG47839","Anderson, R. P., et al. Optimizing Biodiversity Informatics to Improve Information Flow, Data Quality, and Utility for Science and Society. vol. 12, no. 3, 2020, https://doi.org/10.21425/F5FBG47839.","report-or-web-resource","Zotero bibliography","Core criterion","Prediction 7: Correct taxonomic identification; Projection 7: Correct taxonomic identification","","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"anselmetto_2025","Anselmetto et al. 2025","Anselmetto et al. 2025","Anselmetto, Nicolò, et al.","2025","Species Distribution Models Built with Local Species Data Perform Better for Current Time, but Suffer from Niche Truncation","Agricultural and Forest Meteorology","362","","110361","10.1016/j.agrformet.2024.110361","https://doi.org/10.1016/j.agrformet.2024.110361","Anselmetto, Nicolò, et al. “Species Distribution Models Built with Local Species Data Perform Better for Current Time, but Suffer from Niche Truncation.” Agricultural and Forest Meteorology, vol. 362, 2025, p. 110361, https://doi.org/10.1016/j.agrformet.2024.110361.","journal-article","Zotero bibliography","Core criterion","Prediction 16.1: Predictors resolution matches response scale (spatial); Projection 16.1: Predictors resolution matches response scale (spatial)","","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
