Application,Application_category,Description,Example citation,Citation URL
Abiotic and biotic driver interpretation,"Assess, describe, or interpret","Interpret variable importance, coefficients, response curves, or partial dependence to infer relative effects of abiotic and biotic factors and infer habitat specificity.","Elith & Leathwick 2009. Species distribution models: ecological explanation and prediction across space and time. Annual Review of Ecology, Evolution, and Systematics.",https://doi.org/10.1146/annurev.ecolsys.110308.120159
Area of occurrence estimation,"Assess, describe, or interpret","Aggregate predicted occurrence or habitat into a scalar estimate of occupied area, area of occupancy, or area of suitable habitat.",Syfert et al. 2014. Using species distribution models to inform IUCN Red List assessments. Biological Conservation.,https://doi.org/10.1016/j.biocon.2014.06.012
Biodiversity metrics & mapping,"Assess, describe, or interpret","Aggregate predicted distributions, abundances, richness, endemism, or turnover into scalar biodiversity indicators or metrics.",Jetz et al. 2019. Essential biodiversity variables for mapping and monitoring species populations. Nature Ecology & Evolution.,https://doi.org/10.1038/s41559-019-0826-1
Habitat distribution mapping,"Assess, describe, or interpret","Predict where a biotope, habitat type, or ecological community is likely to occur and describe its spatial pattern.","Elith & Leathwick 2009. Species distribution models: ecological explanation and prediction across space and time. Annual Review of Ecology, Evolution, and Systematics.",https://doi.org/10.1146/annurev.ecolsys.110308.120159
Distribution or realized niche shift assessment,"Assess, describe, or interpret","Aggregate current and future distribution predictions to estimate a scalar change in range extent, centroid, occupied area, or suitable area.",Araújo & Peterson 2012. Uses and misuses of bioclimatic envelope modeling. Ecology; Broennimann et al. 2012. Measuring ecological niche overlap from occurrence and spatial environmental data. Global Ecology and Biogeography.,https://doi.org/10.1890/11-1930.1; https://doi.org/10.1111/j.1466-8238.2011.00698.x
Environmental niche variation or differentiation analysis,"Assess, describe, or interpret","Compare modelled environmental niches among taxa, populations, regions, or time periods to infer niche differentiation, overlap, or conservatism.",Broennimann et al. 2012. Measuring ecological niche overlap from occurrence and spatial environmental data. Global Ecology and Biogeography.; Warren et al. 2008. Environmental niche equivalency versus conservatism: quantitative approaches to niche evolution. Evolution.,https://doi.org/10.1111/j.1466-8238.2011.00698.x; https://doi.org/10.1111/j.1558-5646.2008.00482.x
Fire-effect assessment,"Assess, describe, or interpret","Summarize pre- and post-fire predictions to estimate scalar effects on abundance, suitable area, occupancy, or trend.","Elith & Leathwick 2009. Species distribution models: ecological explanation and prediction across space and time. Annual Review of Ecology, Evolution, and Systematics.",https://doi.org/10.1146/annurev.ecolsys.110308.120159
Forest heterogeneity relevance analysis,"Assess, describe, or interpret","Interpret model responses or variable importance to understand how forest heterogeneity relates to occurrence, density, or habitat suitability.","Elith & Leathwick 2009. Species distribution models: ecological explanation and prediction across space and time. Annual Review of Ecology, Evolution, and Systematics.",https://doi.org/10.1146/annurev.ecolsys.110308.120159
Habitat-loss assessment,"Assess, describe, or interpret","Summarize predicted habitat area or abundance before and after land-cover change to estimate total loss, gain, or net change.",Jetz et al. 2019. Essential biodiversity variables for mapping and monitoring species populations. Nature Ecology & Evolution.,https://doi.org/10.1038/s41559-019-0826-1
Habitat-overlap or niche-overlap analysis,"Assess, describe, or interpret","Compare prediction surfaces or environmental-space occupancy to describe overlap among species, populations, sexes, or time periods inlcuding ecological differentation or local adaptation.","Broennimann et al. 2012. Measuring ecological niche overlap from occurrence and spatial environmental data. Global Ecology and Biogeography.; Alvarado-Serrano & Knowles 2014. Ecological niche models in phylogeographic studies: applications, advances and precautions. Molecular Ecology Resources.; Conde et al. 2010. Sex matters: Modeling male and female habitat differences for jaguar conservation. Biological Conservation.",https://doi.org/10.1111/j.1466-8238.2011.00698.x; https://doi.org/10.1111/1755-0998.12254; https://doi.org/10.1016/j.biocon.2010.04.049
