ID,Model_type,Model_stage,Model_step,Criterion,Description,Violation,Solutions,Justification,Core_reference,Direct_core_IDs,Indirect_core_IDs,All_core_IDs,Core_relationship_paths,Citations
9,Prediction,"Data quality, relevance and preparation",Species datasets,Unbiased species data,"SDMs should rely on occurrence data that has been homogeneously sampled across the study area – ideally via systematically designed surveys – to avoid bias in species representation (Soley-Guardia et al. 2024). When designing systematic surveys, in addition to the geographic extent, Araújo et al. (2019) also emphasize the importance of evenly sampling along the environmental gradients occupied by the taxon within the study area. For the special case of occupancy SDMs, unbiased data should include samples collected from a closed population (i.e., geographically isolated, without immigration and emigration during the sampling period). When access to unbiased data is lacking, see criteria “Biases and noise in species datasets are treated” for more.","This criteria can be violated by models that rely on opportunistic (e.g., occurrences inflated near or along roads) and geographically structured data (i.e., preferential sampling of certain habitats) rather than systematic surveys (e.g., based on stratified or random designs; Soley-Guardia et al. 2024, Guisan et al. 2017). For example, violation can occur when species occurrence records rely heavily on spatially clumped or incomplete data from museum collections (Richmond et al. 2010). For the special case of modeling migratory species, violation can occur by including observation of migrants when the goal is to build a breeding season model.","Implement target-group background approach (Barber et al. 2021)., Implement sampling probability approach (Barber et al. 2021)., Implement weighted locality approach (Barber et al. 2021)., Implement filtering (or thining ) approach (Moudrý et al 2024; Veloz 2009; Aiello et al. 2015)., Acknowledge modelers were unable to address this assumption.","When geographic sampling biases exist, these can translate into biased species-environment relationships when they also violate the criteria “Species data covers the environmental extent ”. If the related criteria are not violated, then risk of prediction error is low.","As Hernandez et al. (2006) point out, “[s]mall sample sizes pose challenges to any statistical analyses and result in decreased predictive potential when compared to models developed with more occurrences”. This can express itself in a few different ways. When a small sample size leads to environmental sampling bias, its consequences can be explained by violations of the criteria “Species data covers the environmental extent” (Hernandez et al. 2006). A limited sample size also constrains model complexity, that is, the model’s capacity to capture the underlying species-environmental relationships (Moudrý et al. 2024). In this case, consequences can be explained by violations of the criteria “Model complexity and structure are appropriate”.",10,,10,9 > 10,Soley-Guardia et al. 2024; Araújo et al. 2019; Guisan et al. 2017; Richmond et al. 2010; Barber et al. 2021; Moudrý et al. 2024; Veloz 2009; Aiello et al. 2015; Hernandez et al. 2006
11,Prediction,"Data quality, relevance and preparation",Species datasets,Species data covers the geographic extent,"As a special case of the criteria “Unbiased species data”, the assumption is that species occurrence should be sampled across all regions of the study area that are suitable for and accessible to the taxon (Araújo et al. 2019).","This criteria can be violated by models that rely on opportunistic data (e.g., occurrences inflated near or along roads, preferential sampling of certain habitats) rather than systematic surveys (e.g., based on stratified or random designs; Soley-Guardia et al. 2024, Guisan et al. 2017).","Implement Nested SDMs (N-SDMs; Guisan et al. 2025)., Calibrate models over the whole species range; then focus on regions (e.g.; Scherrer et al. 2021)., Acknowledge modelers were unable to address this assumption.","When geographic sampling biases exist, these can translate into biased species-environment relationships due to niche truncation, and thus violate the criteria “Species data covers the environmental extent ”.","As Hernandez et al. (2006) point out, “[s]mall sample sizes pose challenges to any statistical analyses and result in decreased predictive potential when compared to models developed with more occurrences”. This can express itself in a few different ways. When a small sample size leads to environmental sampling bias, its consequences can be explained by violations of the criteria “Species data covers the environmental extent” (Hernandez et al. 2006). A limited sample size also constrains model complexity, that is, the model’s capacity to capture the underlying species-environmental relationships (Moudrý et al. 2024). In this case, consequences can be explained by violations of the criteria “Model complexity and structure are appropriate”.",10,,10,11 > 10,Araújo et al. 2019; Soley-Guardia et al. 2024; Guisan et al. 2017; Guisan et al. 2025; Scherrer et al. 2021; Hernandez et al. 2006; Moudrý et al. 2024
18,Prediction,"Data quality, relevance and preparation",Predictors datasets,All predictors relevant for the species response are included,"Related to the criteria “Predictors are relevant for the species response”, SDMs should be built using all driving factors of a species’ distribution (Araújo et al. 2019, Wiens et al. 2009). ","This criteria can be easily violated, as measuring all dimensions of a species niche is unrealistic (Wiens et al. 2009). Therefore, violation occurs if key predictors are not included in the model due to lack of knowledge or data.",,Violations to this criteria lead to violations of the criteria “Species data covers the environmental extent”.,"As Hernandez et al. (2006) point out, “[s]mall sample sizes pose challenges to any statistical analyses and result in decreased predictive potential when compared to models developed with more occurrences”. This can express itself in a few different ways. When a small sample size leads to environmental sampling bias, its consequences can be explained by violations of the criteria “Species data covers the environmental extent” (Hernandez et al. 2006). A limited sample size also constrains model complexity, that is, the model’s capacity to capture the underlying species-environmental relationships (Moudrý et al. 2024). In this case, consequences can be explained by violations of the criteria “Model complexity and structure are appropriate”.",10,,10,18 > 10,Araújo et al. 2019; Wiens et al. 2009; Hernandez et al. 2006; Moudrý et al. 2024
25,Prediction,Model building,Model settings/complexity,Training samples are representative,"Related to the criteria “Species data covers the environmental extent”, the species data used to train the model should be representative of the environmental conditions in the species range (for projection models) or analysis extent (for prediction models; Guisan et al. 2025, Araújo et al. 2019, Richmond et al. 2010). Since SDMs attempt to quantify a species’ environmental niche, the input data used to build the models needs to include all possible environments that represent suitable habitats for the modeled species (Guisan et al. 2017).",This criteria is violated when the related criteria “Species data covers the environmental extent” is violated.,"Generate adequate number of random pseudo-absences points from native range., Acknowledge modelers were unable to address this assumption.","When this criteria is violated, its consequences can be explained by violation of the criteria  “Species data covers the environmental extent”.","As Hernandez et al. (2006) point out, “[s]mall sample sizes pose challenges to any statistical analyses and result in decreased predictive potential when compared to models developed with more occurrences”. This can express itself in a few different ways. When a small sample size leads to environmental sampling bias, its consequences can be explained by violations of the criteria “Species data covers the environmental extent” (Hernandez et al. 2006). A limited sample size also constrains model complexity, that is, the model’s capacity to capture the underlying species-environmental relationships (Moudrý et al. 2024). In this case, consequences can be explained by violations of the criteria “Model complexity and structure are appropriate”.",10,,10,25 > 10,Guisan et al. 2025; Araújo et al. 2019; Richmond et al. 2010; Guisan et al. 2017; Hernandez et al. 2006; Moudrý et al. 2024
5,Prediction,Foundational,General,Genotype and phenotype stability,"Strongly coupled with the assumption of niche stability, SDMs assume that the genetic and phenotypic composition of a species is constant over space and time (Jeschke & Strayer 2008).","Violations to this assumption are at the root of violations to the niche stability criteria, since species’ physiological tolerances and habitat preferences depend on their genetic and phenotypic properties (Wiens et al. 2009). This assumption can be violated in several ways. For instance, species may adapt through genetic or phenotypic changes when confronted with new environmental conditions due to global change (Davis et al. 2005), range-shifts (Zurell et al. 2024) and/or invasion (Strayer et al. 2006). While evolutionary change usually occurs over large temporal scales, it can also happen relatively fast (particularly in the case of short-generation species; Wiens et al. 2009, Franks et al. 2007). Yet, phenotypic plasticity and differentiation are usually the more common source of violation of this criteria (Jeschke & Strayer 2008). Therefore, similar to niche stability, the probability of violation depends on both the speed of evolutionary and phenotypic change, and on the forecasting horizon (i.e., long-term forecasts are more susceptible as greater evolutionary and/or phenotypic change may accumulate).","Use trait data sets as a proxy of population phenotypic differentiation (Kebede et al. 2021; Chardon et al. 2019)., Acknowledge modelers were unable to address this assumption.","When this criteria is violated, its consequences can be explained by violation of the criteria “Niche stability”.","When geographic sampling biases exist, these can translate into biased species-environment relationships due to niche truncation, and thus violate the criteria “Species data covers the environmental extent ”.",2,,2,5 > 2,Jeschke & Strayer 2008; Wiens et al. 2009; Davis et al. 2005; Zurell et al. 2024; Strayer et al. 2006; Franks et al. 2007; Kebede et al. 2021; Chardon et al. 2019
3,Prediction,Foundational,General,No dispersal limitation,"SDMs assume that species occur at all locations where habitat is suitable and can readily move to new suitable areas if they are available, and likewise, immediately abandon areas that become unsuitable (Jeschke & Strayer 2008). Dispersal limitation is one of several reasons why a species may not be at equilibrium with their environment (De Marco et al. 2008; but see Foster et al. (2022) on apparent equilibrium due to dispersal limitation).","This assumption can be frequently violated owing to physical barriers – natural (e.g., mountain ranges) and anthropogenic (e.g., landscape fragmentation; Foster et al. 2022) – and transient dynamics of invasion, colonization, and extinction (Zurell et al. 2023, Gallien et al., 2012, De Marco et al. 2008).","Incorporating distance constraints into species distribution models (Allouche et al. 2008)., ""More advanced, mechanistic, or dynamic SDMs (D-SDMs) often incorporate dispersal as a key variable to simulate how species ranges might expand or shift over time, especially in response to climate change (e.g. Shipley et al. 2021; Zurell 2017; Evans et al 2015)."", ""Modelers might consider this criterion is irrelevant or has minimum impact on the accuracy of model precictions. Modelers are looking only for high model accuracy and low uncertainty, regarless of explaining of predictors.""","When this criteria is violated, its consequences can be explained by violation of the criteria ""Species-environment equilibrium"".","When geographic sampling biases exist, these can translate into biased species-environment relationships when they also violate the criteria “Species data covers the environmental extent ”. If the related criteria are not violated, then risk of prediction error is low.",1,,1,3 > 1,Jeschke & Strayer 2008; Marco et al. 2008; Foster et al. 2022; Zurell et al. 2023; Gallien et al. 2012; Allouche et al. 2008; Shipley et al. 2021; Zurell 2017; Evans et al. 2015
4.2,Prediction,Foundational,General,Eltonian noise (negative interactions),"Related to the criteria “Species data covers the environmental extent”, the species data used to train the model should be representative of the environmental conditions in the species range (for projection models) or analysis extent (for prediction models; Guisan et al. 2025, Araújo et al. 2019, Richmond et al. 2010). Since SDMs attempt to quantify a species’ environmental niche, the input data used to build the models needs to include all possible environments that represent suitable habitats for the modeled species (Guisan et al. 2017).",This criteria is violated when the related criteria “Species data covers the environmental extent” is violated.,"Include biotic interactions as predictors (Heikkinen et al. 2007)., Acknowledge modelers were unable to address this assumption.","The case of negative interactions, where a species is excluded from its environmental niche by a competitor or predator, is a special case of violating the species-environment equilibrium criteria.","When geographic sampling biases exist, these can translate into biased species-environment relationships when they also violate the criteria “Species data covers the environmental extent ”. If the related criteria are not violated, then risk of prediction error is low.",1,,1,4.2 > 1,Guisan et al. 2025; Araújo et al. 2019; Richmond et al. 2010; Guisan et al. 2017; Heikkinen et al. 2007
15,Prediction,"Data quality, relevance and preparation",Predictors datasets,Predictors spatial resolution matches species data,"The spatial resolution of the predictor data should be as close as possible to the spatial accuracy of the occurrence data (Soley-Guardia et al. 2024, Araújo et al. 2019, Guisan et al. 2007). ","There are three main ways in which mismatches between the spatial resolution of the predictor and occurrence data can occur. The first is through spatial positional errors in the occurrence data. Although past consensus suggested that when spatial positional errors are known to occur, the predictor data should be coarser than the largest positional error in the species occurrence data (Gábor et al. 2020, Moudrý & Šímová 2012), new findings indicate that data coarsening can negatively affect SDM performance (Gábor et al. 2022). Instead, if spatial positional errors occur, steps should be taken to correct or minimize them (see criteria “Lack of spatial positional error” for more). The second source of violation is limited data availability at finer resolutions, which in limited cases, can be addressed by downscaling (Araújo et al. 2019, Wiens et al. 2009). Lastly, this criteria can be intentionally violated if a given species-environmental relationship is best modelled at a coarser resolution (e.g., high spatial autocorrelation, climate variables may act at broader spatial scales than biotic interactions or vegetation structure; Gábor et al. 2022).",,"For consequences of violation due to spatial positional errors, see criteria “Lack of spatial positional error”. For other cases, the risk of prediction error depends on whether the related criteria “Predictors spatial and temporal resolution matches response scale” is violated. If the related criteria are not violated, then risk of prediction error is low.","Unbiased species data: When geographic sampling biases exist, these can translate into biased species-environment relationships when they also violate the criteria “Species data covers the environmental extent ”. If the related criteria are not violated, then risk of prediction error is low.

Predictors are relevant for the species response: The consequences of violation for prediction models can be explained by violation of the criteria “Niche stability”, “Species data covers the environmental extent” and “Species data covers the geographic extent” (Mesgaran et al. 2014).","8, 16.1",,"8, 16.1",15 > 8; 15 > 16.1,Soley-Guardia et al. 2024; Araújo et al. 2019; Guisan et al. 2007; Gábor et al. 2020; Moudrý & Šímová 2012; Gábor et al. 2022; Wiens et al. 2009; Mesgaran et al. 2014
17,Prediction,"Data quality, relevance and preparation",Predictors datasets,Predictors are relevant for the species response,"While a large number of candidate variables may be available, an SDM should be built using predictors that are known to be causally related to the species response (e.g., distributions, suitable habitat, abundance; Araújo et al. 2019) and niche requirements (Wiens et al. 2009) – also known as proximal or driving factors. Since cause-and-effect relationships are typically difficult to infer, the selection of candidate variables can be statistically supported or defined via testing (e.g., Hong & Cho 2015, Barbosa et al. 2001). Best practices recommend that variables that are only correlated to the species’ distribution (i.e., indirect or proxy variables) should not be used for (explanation and) projection models (Araújo et al. 2019, Wiens et al. 2009).","This criteria can be violated in (explanation and) projection models via the inclusion of proxy variables (Soley-Guardia et al. 2024). Prediction models built using proxy variables (i.e., correlative prediction SDMs) can also lead to violation if they also violated the criteria “Niche stability”, “Species data covers the environmental extent” and “Species data covers the geographic extent” (Mesgaran et al. 2014). ","Acknowledge modelers were unable to address this assumption., ""Modelers might consider this criterion is irrelevant or has minimum impact on the accuracy of model precictions. Modelers are looking only for high model accuracy and low uncertainty, regarless of explaining of predictors.""","The consequences of violation for prediction models can be explained by violation of the criteria “Niche stability”, “Species data covers the environmental extent” and “Species data covers the geographic extent” (Mesgaran et al. 2014).",,"2, 10",10,"2, 10",17 > 2; 17 > 10; 17 > 11 > 10,Araújo et al. 2019; Wiens et al. 2009; Hong & Cho 2015; Barbosa et al. 2001; Soley-Guardia et al. 2024; Mesgaran et al. 2014
6,Prediction,Foundational,General,Understanding the ecological processes driving species distribution and abundances,"SDMs should be built on a strong understanding of the ecological processes driving a species’ distribution, including geographic, biotic and abiotic drivers (Bryn et al. 2021, Elith & Leathwick 2009, Araújo & Guisan 2006). Although automated solutions can be used to aid in predictor selection, it should not eliminate the need to preselect sound predictors based on knowledge of the species (Araújo & Guisan 2006).","This criteria can be easily violated, whether simply due to a shortcoming of the modeler (i.e., lack of knowledge of best practices), or due to true limited availability of complete knowledge on the ecological processes driving a species’ distribution (Bryn et al. 2021).","Include disturbance processes (i.e. fire regimes) as potential predictors of changes in species distributions (e.g.; Vallecillo et al. 2009)., Acknowledge modelers were unable to address this assumption., ""Modelers might consider this criterion is irrelevant or has minimum impact on the accuracy of model precictions. Modelers are looking only for high model accuracy and low uncertainty, regarless of explaining of predictors.""","An SDM built on statistical correlations alone and lacking ecological realism may seem robust statistically but lead to misleading results (e.g., Fourcade et al. 2014). The consequences of violation for prediction errors are, however, context dependent. If the model neglects biotic constraints or positive biotic interactions, its consequences are defined by violations to the “Eltonian noise” criteria. If the model neglects anthropogenic and/or geographic constraints, its consequences are defined by violations to the “No dispersal limitation” criteria. If the model fails to account for the ability to adapt to new environments, its consequences are defined by violations to the “Genotype and phenotype stability” criteria. Also see criteria “Predictors are relevant for species response” for more information.",,4.1,"1, 2","4.1, 1, 2",6 > 4.1; 6 > 4.2 > 1; 6 > 3 > 1; 6 > 5 > 2,Bryn et al. 2021; Elith & Leathwick 2009; Araújo & Guisan 2006; Vallecillo et al. 2009; Fourcade et al. 2014
